sample_index,source_index,jid,formula,nat,space_group_number,crystal_system,formation_energy_peratom,optb88vdw_bandgap,split
100,93335,JVASP-188614,Zr5Ag,6,123,tetragonal,-0.06165,0.0,train
101,32084,JVASP-21844,ErNi4B,12,191,hexagonal,-0.52495,0.0,train
102,92547,JVASP-187776,InGaN2,4,115,tetragonal,-0.23848,0.214,train
103,40889,JVASP-33182,Pb4SeBr6,11,8,monoclinic,-0.86802,2.111,train
104,58913,JVASP-128261,TaMo,2,221,cubic,-0.20279,0.0,train
105,82861,JVASP-179881,Ti3Cl,4,160,trigonal,-0.27036,0.0,train
106,51271,JVASP-117042,HfCrCuS4,28,1,triclinic,-1.02135,0.701,train
107,9167,JVASP-70914,HfBeNb2,4,99,tetragonal,0.02504,0.0,train
108,8629,JVASP-91557,K2CdSn,8,63,orthorhombic,-0.29727,0.059,train
109,23915,JVASP-15928,MnSe,4,194,hexagonal,-0.27778,0.0,train
110,52520,JVASP-117917,SiCN,3,187,hexagonal,2.24273,0.0,train
111,58362,JVASP-128067,HePt3,4,221,cubic,0.41177,0.0,train
112,47366,JVASP-57143,NaC3O3,28,70,orthorhombic,-0.98643,0.887,train
113,46622,JVASP-19768,YbIr2,6,227,cubic,-0.72278,0.0,train
114,67922,JVASP-138931,RbSF,3,99,tetragonal,-0.72657,1.438,train
115,11345,JVASP-99058,NaNbO3,20,26,orthorhombic,-2.61975,2.336,train
116,76148,JVASP-161328,YbSrCa2,4,225,cubic,0.03649,0.0,train
117,43879,JVASP-108846,Na2ErCuCl6,10,225,cubic,-1.64779,1.522,train
118,66461,JVASP-134015,BeSnBr,3,6,monoclinic,-0.01121,0.0,train
119,7357,JVASP-67677,MnBeCr4,6,216,cubic,0.29139,0.0,train
120,46572,JVASP-17383,CaGe2Rh2,5,139,tetragonal,-0.8057,0.0,train
121,46228,JVASP-19749,Nb3Rh,8,223,cubic,-0.25391,0.0,train
122,27210,JVASP-79288,LaRe2W,4,216,cubic,0.44841,0.0,train
123,25948,JVASP-34213,CaCO3,10,20,orthorhombic,-2.12705,5.883,train
124,6196,JVASP-87080,KCu4As2,7,166,trigonal,-0.17895,0.0,train
125,25653,JVASP-52334,Sb3O4F,16,13,monoclinic,-1.61693,2.619,train
126,66643,JVASP-132741,OsRu,2,187,hexagonal,-0.01908,0.0,train
127,66623,JVASP-138590,RbInCl,3,99,tetragonal,-0.5523,0.0,train
128,38229,JVASP-33846,ErCl3,8,194,hexagonal,-2.23799,3.294,train
129,34309,JVASP-22772,Pr2O3,40,206,cubic,-3.53457,3.788,train
130,40555,JVASP-9174,HfO2,12,62,orthorhombic,-3.70668,3.478,train
131,68844,JVASP-154909,ZnH8N10,19,2,triclinic,0.05128,3.886,train
132,75317,JVASP-146714,Ba2YV3O8,14,123,tetragonal,-2.90994,0.0,train
133,25428,JVASP-34903,Li4P2O7,26,2,triclinic,-2.50017,5.982,train
134,67236,JVASP-135915,AlAgTe,3,38,orthorhombic,0.06152,0.0,train
135,69786,JVASP-153448,TlTe,16,140,tetragonal,-0.26054,0.0,train
136,62306,JVASP-144463,Rb4SnTe4O2,22,15,monoclinic,-0.95583,1.009,train
137,26046,JVASP-34261,Ba2CdReO6,10,225,cubic,-2.27763,0.0,train
138,8250,JVASP-74034,BeV2Pb,4,99,tetragonal,0.29906,0.0,train
139,58621,JVASP-128135,BaRu,2,187,hexagonal,1.10733,0.0,train
140,79266,JVASP-164767,CaPbI4,24,14,monoclinic,-1.15595,2.76,train
141,92602,JVASP-190325,Zr2CCl2,5,164,trigonal,-1.61424,0.0,train
142,78674,JVASP-170261,ErSiOs2C,10,63,orthorhombic,-0.51337,0.0,train
143,23308,JVASP-55520,CaPbO3,20,62,orthorhombic,-1.95181,0.965,train
144,66267,JVASP-136410,SbClO,3,187,hexagonal,-0.02707,0.0,train
145,48960,JVASP-114396,SrTaO,3,99,tetragonal,-0.50746,0.0,train
146,49287,JVASP-114540,Ba2BrN,4,166,trigonal,-1.39724,1.155,train
147,93877,JVASP-189777,Be4TcW,6,216,cubic,-0.31351,0.0,train
148,9526,JVASP-67961,BeV2Mo,4,119,tetragonal,0.099,0.0,train
149,50379,JVASP-116803,YFe2O4,21,12,monoclinic,-2.10413,0.0,train
150,25220,JVASP-26526,Ba2Fe2S2OF2,9,139,tetragonal,-2.16174,0.0,train
151,41154,JVASP-43032,NaMn2O4,14,63,orthorhombic,-1.83743,0.0,train
152,47144,JVASP-56631,K3Mo2BrO7,26,194,hexagonal,-2.20971,3.024,train
153,85353,JVASP-168994,MnCu2Sn3S8,14,166,trigonal,-0.4739,0.0,train
154,659,JVASP-86679,K2Ga3,10,139,tetragonal,-0.22092,0.213,train
155,23442,JVASP-8108,PrCuSO,8,129,tetragonal,-2.10585,1.856,train
156,52113,JVASP-117357,HfAsRu,18,46,orthorhombic,-0.72815,0.0,train
157,75354,JVASP-146789,H,16,62,orthorhombic,0.89368,0.0,train
158,64179,JVASP-135578,Na3Sb,4,191,hexagonal,-0.135,0.0,train
159,26129,JVASP-55536,Dy2Be2GeO7,24,113,tetragonal,-3.11308,4.601,train
160,84299,JVASP-165893,Pr,2,194,hexagonal,0.00875,0.0,train
161,27576,JVASP-79996,Li2TlAu,4,225,cubic,-0.42658,0.0,train
162,72674,JVASP-155499,PaGa2Rh2,5,139,tetragonal,-0.60445,0.0,train
163,44936,JVASP-109891,Rb2NaNdF6,10,225,cubic,-3.45122,6.419,train
164,46524,JVASP-35194,ZnGeO3,10,161,trigonal,-1.63968,1.563,train
165,50313,JVASP-116779,V2FeO4,14,44,orthorhombic,-1.9185,0.0,train
166,39409,JVASP-46863,Li3Cr3CoO8,15,166,trigonal,-2.04921,0.0,train
167,51851,JVASP-114019,BaBrO,3,99,tetragonal,-0.52052,0.0,train
168,79157,JVASP-167574,Tb3ReB7,22,63,orthorhombic,-0.61128,0.0,train
169,60910,JVASP-134070,BeH2,3,25,orthorhombic,0.4807,0.0,train
170,4759,JVASP-86407,LaMgNi4,6,216,cubic,-0.35357,0.0,train
171,12944,JVASP-105848,Pr3Mg,4,139,tetragonal,-0.01991,0.0,train
172,61711,JVASP-144447,TeI7,16,129,tetragonal,0.11863,0.0,train
173,47482,JVASP-21648,PrAl7Au3,22,167,trigonal,-0.55959,0.0,train
174,83737,JVASP-169725,MgIn2,6,12,monoclinic,-0.05815,0.0,train
175,79625,JVASP-184946,RbS2,3,38,orthorhombic,-0.58944,0.0,train
176,68722,JVASP-151331,V3GaN,10,63,orthorhombic,-0.72798,0.0,train
177,124,JVASP-90580,ZrSn,4,129,tetragonal,-0.3674,0.0,train
178,20,JVASP-60702,PdSe8Cl2,44,61,orthorhombic,-0.15071,1.197,train
179,85411,JVASP-179986,Ta3AlC,5,221,cubic,-0.11378,0.0,train
180,36557,JVASP-40548,RbUAuSe3,12,63,orthorhombic,-1.04845,0.0,train
181,87797,JVASP-179692,Sr2CdAs,4,225,cubic,-0.74445,0.0,train
182,16328,JVASP-2901,RbAuS,6,63,orthorhombic,-0.8456,2.173,train
183,56093,JVASP-122326,Li2AlCoO4,16,31,orthorhombic,-2.18637,0.083,train
184,64540,JVASP-133593,NdNiO3,20,62,orthorhombic,-2.35343,0.0,train
185,20340,JVASP-106563,MgScZn2,4,225,cubic,-0.36093,0.0,train
186,54434,JVASP-117820,YBr4O,6,87,tetragonal,-1.05618,0.0,train
187,41064,JVASP-35158,K8PO3,12,221,cubic,-0.91385,0.0,train
188,71216,JVASP-150999,NaBH4,12,114,tetragonal,-0.37547,6.411,train
189,10239,JVASP-70248,Be2SiW,4,119,tetragonal,-0.31539,0.0,train
190,84597,JVASP-182658,ZrBeP,3,187,hexagonal,-0.86191,0.0,train
191,60278,JVASP-143952,Sr3Co2Cl2O5,12,139,tetragonal,-2.20449,0.0,train
192,49545,JVASP-116466,PPbO4,12,50,orthorhombic,-1.78576,0.0,train
193,75504,JVASP-157660,K2CoH6,9,225,cubic,-0.09886,0.0,train
194,64117,JVASP-141684,Li7Mn2Co3O12,24,2,triclinic,-1.9236,0.327,train
195,67576,JVASP-133746,B2Cl,3,25,orthorhombic,0.37893,0.0,train
196,18217,JVASP-104618,SrPmPt2,4,225,cubic,-1.04637,0.0,train
197,57556,JVASP-127516,TbMo,2,221,cubic,0.58325,0.0,train
198,11770,JVASP-74851,Na2BeW,4,123,tetragonal,1.19892,0.0,train
199,62296,JVASP-140259,Pr3InFeS7,24,173,hexagonal,-1.55246,0.57,train
200,52096,JVASP-112308,Ti6Al16Ir7,29,225,cubic,-0.79744,0.0,train
201,56700,JVASP-121555,Er4C7,22,14,monoclinic,-0.43007,0.0,train
202,62635,JVASP-135771,ZnBN2,4,99,tetragonal,0.48089,0.0,train
203,63489,JVASP-138470,CaPbO,3,99,tetragonal,-0.77131,0.0,train
204,74581,JVASP-147252,Li2Ti3NbO8,14,166,trigonal,-2.91375,0.0,train
205,84172,JVASP-171781,AgPt,2,166,trigonal,-0.06238,0.0,train
206,34462,JVASP-39164,ScCu3,4,225,cubic,-0.19243,0.0,train
207,2360,JVASP-98030,Mo3S3Br,14,148,trigonal,-0.7658,0.0,train
208,1762,JVASP-97878,Li2Ca3Be3Si3O12F2,100,199,cubic,-3.21343,5.922,train
209,92206,JVASP-190950,Sc2CdGa,4,123,tetragonal,-0.47166,0.0,train
210,16171,JVASP-15103,TbBaO3,5,221,cubic,-2.93433,0.0,train
211,79029,JVASP-180861,Ba2VO3,6,71,orthorhombic,-2.56383,0.0,train
212,90796,JVASP-188947,LaTiP,6,129,tetragonal,-1.09377,0.0,train
213,47583,JVASP-34036,Te4Mo3S2,18,63,orthorhombic,-0.45827,0.875,train
214,2590,JVASP-86049,RhN2,12,14,monoclinic,0.22351,0.0,train
215,43364,JVASP-110272,Ce2FeSi3,6,187,hexagonal,-0.57302,0.0,train
216,48951,JVASP-116086,ZrTlF3,5,221,cubic,-2.47918,0.0,train
217,77167,JVASP-95506,K2NaCoC6N6,32,14,monoclinic,-0.2247,4.187,train
218,51113,JVASP-115713,RbPdBr,3,38,orthorhombic,-0.44431,0.358,train
219,22639,JVASP-8800,H4NCl,6,215,cubic,-0.57753,5.288,train
220,77806,JVASP-172978,NdGe2Ir2,10,129,tetragonal,-0.77396,0.0,train
221,54968,JVASP-120836,TlBSe,3,187,hexagonal,1.25282,0.0,train
222,89941,JVASP-191263,Be2V,6,227,cubic,-0.25875,0.0,train
223,35785,JVASP-37560,YbDyPd2,4,225,cubic,-0.96815,0.0,train
224,82461,JVASP-179524,LiPd2O2,5,164,trigonal,-0.67031,0.0,train
225,85911,JVASP-165736,K4TiO4,18,2,triclinic,-2.2952,3.395,train
226,22637,JVASP-7890,Tb2BaNiO5,9,71,orthorhombic,-2.90113,0.0,train
227,33676,JVASP-41459,Ho2InAg,4,225,cubic,-0.42259,0.0,train
228,3733,JVASP-69277,Ba2HgBr,4,225,cubic,-0.89171,0.0,train
229,54150,JVASP-117574,BaTeCl,3,187,hexagonal,-1.07496,0.0,train
230,78509,JVASP-181743,RbTe2Au,4,119,tetragonal,-0.481,0.0,train
231,91481,JVASP-191930,LiNiGe2,4,160,trigonal,-0.30988,0.0,train
232,39914,JVASP-44678,Mn3NiO8,12,166,trigonal,-1.48444,0.399,train
233,6636,JVASP-68723,BeZn2Cl,4,119,tetragonal,0.32852,0.0,train
234,40812,JVASP-18005,InSb,2,225,cubic,0.00724,0.0,train
235,52877,JVASP-119382,LiMn2P2O10,15,1,triclinic,-2.02147,0.153,train
236,5385,JVASP-90665,HfCuSiAs,8,129,tetragonal,-0.49835,0.0,train
237,4335,JVASP-48466,LiCo5O7F,14,160,trigonal,-1.39287,0.306,train
238,44217,JVASP-108773,In2GaAs3,6,119,tetragonal,-0.24557,0.0,train
239,78610,JVASP-165493,NaLa6OsI12,20,148,trigonal,-1.40502,0.145,train
240,35301,JVASP-35535,AgPPt5,7,123,tetragonal,-0.15632,0.0,train
241,86395,JVASP-186807,RbMgO2,4,99,tetragonal,-1.59046,0.0,train
242,56575,JVASP-125727,Pa3Se,4,221,cubic,-0.48699,0.0,train
243,57452,JVASP-126316,NeNi3,4,221,cubic,1.12421,0.0,train
244,63972,JVASP-136613,RbSnF2,4,99,tetragonal,-2.02904,0.0,train
245,20493,JVASP-107511,TlPdPb,6,69,orthorhombic,-0.16493,0.0,train
246,71168,JVASP-150297,YbSi2Ni,8,63,orthorhombic,-0.6718,0.0,train
247,81940,JVASP-168176,Th2CuTe6,9,6,monoclinic,-0.92593,0.0,train
248,71972,JVASP-155335,Rb2IrI6,9,225,cubic,-0.75068,0.0,train
249,31421,JVASP-28537,Te2MoW2Se2S2,9,8,monoclinic,-0.44988,0.167,train
250,85543,JVASP-172805,Ce4UO10,15,166,trigonal,-3.70788,0.0,train
251,5750,JVASP-12119,CrAgP2S6,20,13,monoclinic,-0.382,0.812,train
252,26529,JVASP-78540,CeS,2,225,cubic,-2.16913,0.0,train
253,69199,JVASP-150232,Fe2N,9,162,trigonal,-0.15746,0.0,train
254,54692,JVASP-120877,BeSnBi,3,99,tetragonal,0.55206,0.0,train
255,32753,JVASP-41737,LiAc2Si,4,225,cubic,-0.20901,0.0,train
256,52131,JVASP-117374,Pr3BiRu4O14,22,166,trigonal,-2.05464,0.0,train
257,16132,JVASP-99740,Te,1,221,cubic,0.03875,0.0,train
258,49997,JVASP-116640,Tb6MgGe2S14,23,143,trigonal,-1.72846,2.044,train
259,2308,JVASP-61484,MnAs2O6,9,162,trigonal,-1.34765,0.522,train
260,81091,JVASP-185459,VN2,3,8,monoclinic,-0.43921,0.0,train
261,34269,JVASP-40000,Ho2OsRu,4,225,cubic,-0.32161,0.0,train
262,70130,JVASP-153787,CeCuS2,16,14,monoclinic,-1.48133,0.0,train
263,16707,JVASP-99839,Pr3Sc,8,194,hexagonal,0.05427,0.0,train
264,91165,JVASP-187991,Al3NiOs2,6,123,tetragonal,-0.52477,0.0,train
265,69415,JVASP-154744,Sr3UO6,20,14,monoclinic,-3.39514,2.173,train
266,71299,JVASP-152605,PuB4Os,12,65,orthorhombic,-0.47191,0.0,train
267,84658,JVASP-169309,Tm2In8Co,11,123,tetragonal,-0.27548,0.0,train
268,42161,JVASP-22499,CaTi8S16,25,164,trigonal,-1.51656,0.0,train
269,92865,JVASP-187526,Nb2RuPdH,5,123,tetragonal,-0.19248,0.0,train
270,43670,JVASP-108645,LiPm2Co,4,225,cubic,-0.03633,0.0,train
271,72544,JVASP-153854,Dy3Ir,16,62,orthorhombic,-0.64669,0.0,train
272,28933,JVASP-10156,DyTaO4,12,13,monoclinic,-3.51809,4.052,train
273,36527,JVASP-38394,Pr3Cu,4,139,tetragonal,0.11543,0.0,train
274,66043,JVASP-139992,Li7Mn2Co3O12,24,6,monoclinic,-1.83878,0.0,train
275,73071,JVASP-145364,Sr2La2MgRuO8,14,123,tetragonal,-2.90489,0.0,train
276,87384,JVASP-183888,LiCrCl3,5,123,tetragonal,-1.2298,0.0,train
277,32252,JVASP-42031,PrBiAu2,4,225,cubic,-0.66392,0.0,train
278,50314,JVASP-115191,LiI2,3,191,hexagonal,-0.3896,0.0,train
279,69070,JVASP-146562,LiCo8O16,25,2,triclinic,-1.13416,0.0,train
280,36093,JVASP-16577,MnNi3,4,221,cubic,-0.08064,0.0,train
281,47105,JVASP-56630,BaV2P4O14,21,2,triclinic,-2.4767,0.0,train
282,84940,JVASP-183019,ZrCuS,3,187,hexagonal,-0.46495,0.0,train
283,91908,JVASP-191806,Cu3Pt,8,194,hexagonal,-0.13051,0.0,train
284,56983,JVASP-127270,TlP,2,187,hexagonal,0.62634,0.0,train
285,63471,JVASP-141468,BaZr5Pb4O15,25,8,monoclinic,-2.8848,2.852,train
286,92686,JVASP-192299,ScAlRh2,4,123,tetragonal,-1.10258,0.0,train
287,41218,JVASP-46536,Li2CrO3,12,36,orthorhombic,-2.18785,0.392,train
288,26553,JVASP-50916,SrSc2O4,14,227,cubic,-3.56468,3.542,train
289,22712,JVASP-51211,NbCrW,3,216,cubic,0.77885,0.0,train
290,70720,JVASP-154772,HoAl3,20,166,trigonal,-0.45761,0.0,train
291,61341,JVASP-140230,Fe10OF19,30,1,triclinic,-2.00773,0.0,train
292,71994,JVASP-157067,Yb2LiAg,4,225,cubic,-0.21398,0.0,train
293,12996,JVASP-2008,HoHSe,3,187,hexagonal,-1.52055,1.698,train
294,92440,JVASP-189234,CaY2PbC,5,123,tetragonal,-0.60529,0.0,train
295,8502,JVASP-68073,LaBeOs,3,187,hexagonal,-0.15364,0.0,train
296,85005,JVASP-183789,SrCrO,3,187,hexagonal,-0.72609,0.0,train
297,29098,JVASP-9520,MgNiPO5,16,2,triclinic,-2.06704,0.212,train
298,9725,JVASP-71289,BeTe2Rh,4,99,tetragonal,-0.03919,0.0,train
299,36594,JVASP-38813,Er2AgIr,4,225,cubic,-0.73283,0.0,train
300,15766,JVASP-103204,KRb2AuBr6,10,225,cubic,-1.06581,0.0,train
301,23144,JVASP-7855,SnS,2,225,cubic,-0.52092,0.443,train
302,66244,JVASP-138044,BaSrTe,3,187,hexagonal,-0.48355,0.0,train
303,91518,JVASP-188088,MgRu2W,4,225,cubic,-0.04698,0.0,train
304,44426,JVASP-109571,NaAu3,8,194,hexagonal,-0.26488,0.0,train
305,44608,JVASP-108024,CeCd2Cu,4,216,cubic,-0.19159,0.0,train
306,44531,JVASP-36298,IrN2,3,187,hexagonal,0.94769,0.0,train
307,92418,JVASP-190560,MgZrRh2,4,225,cubic,-0.85167,0.0,train
308,8644,JVASP-67774,Li4ZrBe,6,216,cubic,0.36422,0.0,train
309,12532,JVASP-92329,NdCu2Si2,5,139,tetragonal,-0.55685,0.0,train
310,47656,JVASP-59918,Ba2CuSn2F14,38,15,monoclinic,-2.89361,1.122,train
311,26253,JVASP-207,GeS,4,63,orthorhombic,-0.31385,0.825,train
312,79456,JVASP-180127,LaPt,2,221,cubic,-1.21884,0.0,train
313,59158,JVASP-125392,H3F,4,1,triclinic,-0.7229,8.007,train
314,68787,JVASP-149784,GePt,8,62,orthorhombic,-0.45469,0.0,train
315,45463,JVASP-12170,WO2F2,10,26,orthorhombic,-2.55967,2.437,train
316,74368,JVASP-145948,Li3FeSiO5,20,2,triclinic,-2.25579,0.0,train
317,12385,JVASP-54797,CrCoPt2,4,123,tetragonal,-0.17316,0.0,train
318,32758,JVASP-56355,Ce3GaBr3,7,221,cubic,-1.23587,0.0,train
319,13793,JVASP-93091,Mg6SiB,8,38,orthorhombic,0.15272,0.0,train
320,32727,JVASP-50047,Zr3N2O3,16,8,monoclinic,-2.81289,2.846,train
321,50797,JVASP-115498,BSO2,4,99,tetragonal,-0.23193,0.0,train
322,17436,JVASP-15026,USb2,6,129,tetragonal,-0.27131,0.0,train
323,53776,JVASP-111706,Li4MnGe2S7,28,9,monoclinic,-0.93782,1.325,train
324,48864,JVASP-111471,InNiAg2F7,22,74,orthorhombic,-1.81504,0.436,train
325,46462,JVASP-17525,PrCuSb2,8,129,tetragonal,-0.68101,0.0,train
326,93635,JVASP-188047,ZrTi3O,5,221,cubic,-1.14971,0.0,train
327,76883,JVASP-159997,Na2AgO2,5,12,monoclinic,-0.99833,0.0,train
328,60622,JVASP-132881,BaY2Si2O7F2,28,2,triclinic,-3.58012,5.319,train
